m,n,k,throughput
2048,2048,64,14.526
2048,2048,128,28.197
2048,2048,192,35.57
2048,2048,256,47.595
2048,2048,320,59.919
2048,2048,384,71.519
2048,2048,448,59.539
2048,2048,512,76.369
2048,2048,576,73.033
2048,2048,640,79.419
2048,2048,704,80.677
2048,2048,768,111.538
2048,2048,832,95.555
2048,2048,896,100.699
2048,2048,960,120.99
2048,2048,1024,147.898
2048,2048,1088,131.434
2048,2048,1152,153.294
2048,2048,1216,157.61
2048,2048,1280,165.293
2048,2048,1344,168.173
2048,2048,1408,157.735
2048,2048,1472,183.969
2048,2048,1536,180.36
2048,2048,1600,188.933
2048,2048,1664,171.904
2048,2048,1728,201.551
2048,2048,1792,205.136
2048,2048,1856,189.499
2048,2048,1920,189.039
2048,2048,1984,182.01
2048,2048,2048,187.389
2048,2048,2112,156.619
2048,2048,2176,158.342
2048,2048,2240,159.458
2048,2048,2304,166.961
2048,2048,2368,186.834
2048,2048,2432,183.463
2048,2048,2496,194.302
2048,2048,2560,192.427
2048,2048,2624,169.217
2048,2048,2688,176.271
2048,2048,2752,178.019
2048,2048,2816,184.434
2048,2048,2880,175.576
2048,2048,2944,187.546
2048,2048,3008,198.247
2048,2048,3072,187.936
2048,2048,3136,205.521
2048,2048,3200,205.477
2048,2048,3264,212.317
2048,2048,3328,214.221
2048,2048,3392,219.554
2048,2048,3456,214.177
2048,2048,3520,225.61
2048,2048,3584,224.096
2048,2048,3648,189.554
2048,2048,3712,192.88
2048,2048,3776,197.379
2048,2048,3840,202.542
2048,2048,3904,203.058
2048,2048,3968,205.064
2048,2048,4032,211.817
2048,2048,4096,213.256
2048,2048,4160,176.674
2048,2048,4224,190.913
2048,2048,4288,193.472
2048,2048,4352,186.034
2048,2048,4416,196.125
2048,2048,4480,189.344
2048,2048,4544,193.06
2048,2048,4608,202.338
2048,2048,4672,196.982
2048,2048,4736,200.568
2048,2048,4800,202.705
2048,2048,4864,211.542
2048,2048,4928,208.615
2048,2048,4992,212.611
2048,2048,5056,226.564
2048,2048,5120,227.777
2048,2048,5184,216.826
2048,2048,5248,230.731
2048,2048,5312,220.683
2048,2048,5376,234.004
2048,2048,5440,191.161
2048,2048,5504,199.632
2048,2048,5568,206.745
2048,2048,5632,212.431
2048,2048,5696,208.035
2048,2048,5760,207.982
2048,2048,5824,213.304
2048,2048,5888,214.227
2048,2048,5952,220.457
2048,2048,6016,219.57
2048,2048,6080,231.831
2048,2048,6144,224.007
2048,2048,6208,207.774
2048,2048,6272,205.072
2048,2048,6336,206.328
2048,2048,6400,208.348
2048,2048,6464,210.693
2048,2048,6528,221.024
2048,2048,6592,214.399
2048,2048,6656,216.279
2048,2048,6720,222.495
2048,2048,6784,225.183
2048,2048,6848,223.002
2048,2048,6912,224.737
2048,2048,6976,227.452
2048,2048,7040,230.615
2048,2048,7104,227.87
2048,2048,7168,229.013
2048,2048,7232,205.176
2048,2048,7296,211.279
2048,2048,7360,210.344
2048,2048,7424,221.28
2048,2048,7488,206.353
2048,2048,7552,212.701
2048,2048,7616,211.269
2048,2048,7680,208.899
2048,2048,7744,206.2
2048,2048,7808,207.116
2048,2048,7872,210.786
2048,2048,7936,212.175
2048,2048,8000,224.414
2048,2048,8064,210.971
2048,2048,8128,216.976
2048,2048,8192,219.467
2048,2048,8256,222.432
2048,2048,8320,220.697
2048,2048,8384,223.582
2048,2048,8448,225.748
2048,2048,8512,229.211
2048,2048,8576,229.111
2048,2048,8640,231.943
2048,2048,8704,226.247
2048,2048,8768,232.757
2048,2048,8832,235.171
2048,2048,8896,235.559
2048,2048,8960,239.065
2048,2048,9024,215.494
2048,2048,9088,215.355
2048,2048,9152,222.091
2048,2048,9216,220.733
2048,2048,9280,214.382
2048,2048,9344,214.819
2048,2048,9408,218.542
2048,2048,9472,217.571
2048,2048,9536,210.643
2048,2048,9600,216.573
2048,2048,9664,216.342
2048,2048,9728,218.849
2048,2048,9792,222.581
2048,2048,9856,227.738
2048,2048,9920,226.423
2048,2048,9984,227.686
2048,2048,10048,230.096
2048,2048,10112,233.191
2048,2048,10176,229.518
2048,2048,10240,232.211
2048,2048,10304,230.866
2048,2048,10368,234.707
2048,2048,10432,242.975
2048,2048,10496,237.042
2048,2048,10560,237.719
2048,2048,10624,240.606
2048,2048,10688,242.213
2048,2048,10752,241.007
2048,2048,10816,222.468
2048,2048,10880,221.395
2048,2048,10944,224.792
2048,2048,11008,225.444
2048,2048,11072,222.07
2048,2048,11136,227.532
2048,2048,11200,222.089
2048,2048,11264,221.847
2048,2048,11328,220.827
2048,2048,11392,221.211
2048,2048,11456,224.658
2048,2048,11520,224.737
2048,2048,11584,228.622
2048,2048,11648,227.53
2048,2048,11712,229.036
2048,2048,11776,227.992
2048,2048,11840,234.735
2048,2048,11904,233.357
2048,2048,11968,233.824
2048,2048,12032,237.554
2048,2048,12096,236.766
2048,2048,12160,239.36
2048,2048,12224,239.004
2048,2048,12288,240.929
2048,2048,12352,245.536
2048,2048,12416,242.216
2048,2048,12480,242.427
2048,2048,12544,245.078
2048,2048,12608,231.41
2048,2048,12672,227.254
2048,2048,12736,227.701
2048,2048,12800,236.507
2048,2048,12864,224.031
2048,2048,12928,225.896
2048,2048,12992,228.269
2048,2048,13056,230.553
2048,2048,13120,225.271
2048,2048,13184,226.222
2048,2048,13248,228.969
2048,2048,13312,228.568
2048,2048,13376,230.27
2048,2048,13440,231.79
2048,2048,13504,232.017
2048,2048,13568,235.081
2048,2048,13632,235.295
2048,2048,13696,235.702
2048,2048,13760,244.094
2048,2048,13824,241.672
2048,2048,13888,241.103
2048,2048,13952,234.789
2048,2048,14016,240.577
2048,2048,14080,239.83
2048,2048,14144,246.445
2048,2048,14208,242.129
2048,2048,14272,244.771
2048,2048,14336,246.392
2048,2048,14400,230.316
2048,2048,14464,231.41
2048,2048,14528,231.797
2048,2048,14592,232.535
2048,2048,14656,226.398
2048,2048,14720,232.666
2048,2048,14784,232.59
2048,2048,14848,227.056
2048,2048,14912,227.471
2048,2048,14976,227.719
2048,2048,15040,228.824
2048,2048,15104,232.395
2048,2048,15168,235.243
2048,2048,15232,236.516
2048,2048,15296,235.937
2048,2048,15360,229.399
2048,2048,15424,235.865
2048,2048,15488,238.024
2048,2048,15552,241.843
2048,2048,15616,241.513
2048,2048,15680,243.112
2048,2048,15744,243.456
2048,2048,15808,243.835
2048,2048,15872,246.38
2048,2048,15936,249.33
2048,2048,16000,248.551
2048,2048,16064,249.103
2048,2048,16128,245.627
2048,2048,16192,231.821
2048,2048,16256,233.534
2048,2048,16320,240.213
2048,2048,16384,237.389
2048,2048,16448,232.157
2048,2048,16512,233.943
2048,2048,16576,235.518
2048,2048,16640,240.932
2048,2048,16704,231.962
2048,2048,16768,236.802
2048,2048,16832,233.956
2048,2048,16896,235.251
2048,2048,16960,237.688
2048,2048,17024,236.311
2048,2048,17088,239.803
2048,2048,17152,244.331
2048,2048,17216,238.503
2048,2048,17280,242.822
2048,2048,17344,243.395
2048,2048,17408,234.201
2048,2048,17472,245.159
2048,2048,17536,245.335
2048,2048,17600,250.101
2048,2048,17664,250.772
2048,2048,17728,249.452
2048,2048,17792,248.584
2048,2048,17856,252.575
2048,2048,17920,250.373
2048,2048,17984,235.749
2048,2048,18048,233.696
2048,2048,18112,237.814
2048,2048,18176,232.596
2048,2048,18240,234.56
2048,2048,18304,235.239
2048,2048,18368,236.003
2048,2048,18432,236.449
2048,2048,18496,234.204
2048,2048,18560,232.017
2048,2048,18624,234.017
2048,2048,18688,235.131
2048,2048,18752,233.693
2048,2048,18816,233.602
2048,2048,18880,234.48
2048,2048,18944,231.707
2048,2048,19008,242.503
2048,2048,19072,244.002
2048,2048,19136,244.136
2048,2048,19200,243.413
2048,2048,19264,247.213
2048,2048,19328,246.526
2048,2048,19392,247.613
2048,2048,19456,250.874
2048,2048,19520,246.338
2048,2048,19584,250.187
2048,2048,19648,251.433
2048,2048,19712,251.118
2048,2048,19776,237.506
2048,2048,19840,235.843
2048,2048,19904,241.869
2048,2048,19968,236.507
2048,2048,20032,238.884
2048,2048,20096,235.786
2048,2048,20160,237.894
2048,2048,20224,237.873
2048,2048,20288,234.058
2048,2048,20352,236.54
2048,2048,20416,238.792
2048,2048,20480,238.186
2048,2048,20544,234.687
2048,2048,20608,234.983
2048,2048,20672,236.407
2048,2048,20736,236.032
2048,2048,20800,242.149
